time_proper_Myr,radiation_pressure_proper_cgs_dyn_cm2,gas_pressure_proper_cgs_dyn_cm2,pressure_ratio
9.769558710496854814e-02,9.698571708368072850e-54,2.682196678832707563e-12,3.615906240175084021e-42
9.803232067963471574e-02,9.679084149705139363e-54,2.682247665498932476e-12,3.608572121882975117e-42
9.836911659363949123e-02,9.662053873479701205e-54,2.682346462509845139e-12,3.602090188021055710e-42
9.870597655979591878e-02,9.649750570281419126e-54,2.682426987392853644e-12,3.597395424231231516e-42
9.904290221879237521e-02,9.639746380610165297e-54,2.682494698376869387e-12,3.593575184488904194e-42
9.937989514210072983e-02,9.626012483722435416e-54,2.682579647600841257e-12,3.588341726342193382e-42
9.971695683492277917e-02,9.609193081354254673e-54,2.682625879124406840e-12,3.582010132732574166e-42
1.000540887393664008e-01,9.587124329179442533e-54,2.682664360242557360e-12,3.573732320472848041e-42
1.003912922378721040e-01,9.551140642251113828e-54,2.682753969608477891e-12,3.560199984959862555e-42
1.007285686567444272e-01,9.524737391501191448e-54,2.682813208765270843e-12,3.550279743808487297e-42
1.010659192696708036e-01,9.506026611838540552e-54,2.682863325146877107e-12,3.543239240977033096e-42
1.014033453012253005e-01,9.489628884215165425e-54,2.682960918665392545e-12,3.536998551934058577e-42
1.017408479304020286e-01,9.477751842395714815e-54,2.683040721426399475e-12,3.532466640072837230e-42
1.020784282941885474e-01,9.468026790610497015e-54,2.683106845019826304e-12,3.528755035672288066e-42
1.024160874911568125e-01,9.454489389159287869e-54,2.683189467535800942e-12,3.523601111121736381e-42
1.027538265850513471e-01,9.437912570481669234e-54,2.683234337113268575e-12,3.517364264440412308e-42
1.030916466083708488e-01,9.416205092909563332e-54,2.683271843378363048e-12,3.509225170810172655e-42
1.034295485659425945e-01,9.381069374828974375e-54,2.683359923773576652e-12,3.496016054989928221e-42
1.037675334384823705e-01,9.355715072754661108e-54,2.683417991506691574e-12,3.486491892938972838e-42
1.041056021861275493e-01,9.337698784722597147e-54,2.683467272410894509e-12,3.479714055291374613e-42
